data;codigo;abertura;maxima;minima;fechamento;vol_quantidade
2021-08-03;PETR4;26,36;26,87;25,79;26,85;1889835624
2021-08-02;PETR4;27,2;27,41;26,37;26,41;1881878263
2021-07-30;PETR4;27,6;27,83;26,83;26,91;2005852700
2021-07-29;PETR4;27,8;27,92;27,5;27,81;1210777154
2021-07-28;PETR4;27,43;27,9;27,2;27,71;1285148055
2021-07-27;PETR4;27,35;27,4;26,9;27,15;1403436771
2021-07-26;PETR4;26,74;27,47;26,72;27,47;1262303685
2021-07-23;PETR4;27,1;27,17;26,68;26,74;907641317
2021-07-22;PETR4;27;27,22;26,71;26,9;1008541681
2021-07-21;PETR4;26,79;27,24;26,59;26,96;1353638647
2021-07-20;PETR4;26,19;26,94;25,9;26,59;1671167979
2021-07-19;PETR4;25,97;26,45;25,86;26,24;2083298983
2021-07-16;PETR4;27,23;27,38;26,58;26,68;1815712858
2021-07-15;PETR4;27,49;27,63;26,92;27,08;1843424942
2021-07-14;PETR4;28,1;28,2;27,54;27,67;1430049849
2021-07-13;PETR4;27,56;27,97;27,38;27,9;1140578807
2021-07-12;PETR4;27,58;27,78;27,28;27,73;1445425492
2021-07-08;PETR4;27,4;27,68;27,27;27,49;2202104751
2021-07-07;PETR4;28,15;28,15;27,41;28,05;2046637741
2021-07-06;PETR4;28,7;28,8;27,67;27,67;2721314437
2021-07-05;PETR4;29,01;29,16;28,37;28,85;1605399940
2021-07-02;PETR4;29,3;29,38;28,73;29,18;1081631408
2021-07-01;PETR4;29,74;29,88;28,92;29,06;1896635608
2021-06-30;PETR4;29,03;29,57;28,92;29,43;2083196259
2021-06-29;PETR4;29,09;29,18;28,74;29,18;1251069418
2021-06-28;PETR4;29,18;29,27;28,67;29,05;1163061412
2021-06-25;PETR4;29,69;29,79;28,95;29,1;2485028652
2021-06-24;PETR4;29,49;29,65;29,22;29,65;1505246872
2021-06-23;PETR4;29,25;29,52;29;29,3;1673238622
2021-06-22;PETR4;29;29,27;28,67;29,1;1198653186
2021-06-21;PETR4;28,4;29;28,4;28,95;1453460484
2021-06-18;PETR4;28;28,42;27,64;28,32;3219860756
2021-06-17;PETR4;29,01;29,2;27,91;28,13;2682712594
2021-06-16;PETR4;29,08;29,29;28,77;29,14;2230444701
2021-06-15;PETR4;28,96;29,06;28,63;29,03;1222986237
2021-06-14;PETR4;28,9;29,35;28,61;28,75;1855983374
2021-06-11;PETR4;28,8;28,85;28,26;28,57;1567087164
2021-06-10;PETR4;28,83;29,03;28,57;28,68;1027261160
2021-06-09;PETR4;28,72;29,08;28,52;28,66;1742254999
2021-06-08;PETR4;28,17;28,8;27,96;28,66;2514476955
2021-06-07;PETR4;28,5;28,55;28,01;28,29;2092156733
2021-06-04;PETR4;28,06;28,62;27,92;28,5;2906118226
2021-06-02;PETR4;27,35;28,07;27,26;28,06;2861498083
2021-06-01;PETR4;27,4;27,7;27,01;27,29;2457620595
2021-05-31;PETR4;26,96;27,2;26,78;26,87;1238831371
2021-05-28;PETR4;26,2;27,02;26,15;26,99;3451162373
2021-05-27;PETR4;26,08;26,25;25,77;25,91;1259234168
2021-05-26;PETR4;25,91;26,18;25,65;26,09;1198655674
2021-05-25;PETR4;26,48;26,62;25,78;25,84;1651655129
2021-05-24;PETR4;26,28;26,52;25,99;26,39;1653280727
2021-05-21;PETR4;26,08;26,31;25,94;25,95;2119742506
2021-05-20;PETR4;26,15;26,28;25,72;25,93;1840933301
2021-05-19;PETR4;25,85;26,35;25,8;26,15;2201170682
2021-05-18;PETR4;26,7;26,8;26,27;26,35;1641754534
2021-05-17;PETR4;26,3;26,66;26,2;26,66;2196291768
2021-05-14;PETR4;25,8;26,38;25,55;26,28;5076946270
2021-05-13;PETR4;24,76;25,1;24,43;24,99;1901721834
2021-05-12;PETR4;24,95;25,53;24,69;24,78;2237265689
2021-05-11;PETR4;24,44;25,17;24,32;25,15;1825115750
2021-05-10;PETR4;24,8;24,98;24,58;24,7;1824735202
2021-05-07;PETR4;23,64;24,45;23,46;24,38;1774400414
2021-05-06;PETR4;23,71;23,85;23,4;23,5;1265034466
2021-05-05;PETR4;23,17;23,95;23,12;23,83;1788355655
2021-05-04;PETR4;23,54;23,64;22,88;22,89;1013463926
2021-05-03;PETR4;23,8;23,81;23,3;23,43;1126989197
2021-04-30;PETR4;23,4;23,93;23,28;23,62;1429981587
2021-04-29;PETR4;24,12;24,29;23,42;23,62;1166058337
2021-04-28;PETR4;23,4;24,09;23,36;23,94;1565378276
2021-04-27;PETR4;23,82;24,17;23,1;23,1;1784251083
2021-04-26;PETR4;23,85;24,05;23,61;23,78;785883733
2021-04-23;PETR4;23,88;23,94;23,51;23,69;1418138816
2021-04-22;PETR4;24,14;24,19;23,65;23,71;1102934913
2021-04-20;PETR4;24,33;24,59;23,76;23,82;2256701218
2021-04-19;PETR4;22,95;24,89;22,77;24,28;4701099213
2021-04-16;PETR4;23,13;23,24;22,81;22,95;1360243387
2021-04-15;PETR4;23,7;23,83;23,02;23,09;1488038653
2021-04-14;PETR4;23,41;23,78;23,2;23,56;2198727541
2021-04-13;PETR4;23,2;23,33;22,92;23,19;1263757354
2021-04-12;PETR4;23,18;23,58;23,01;23,11;1202200377
2021-04-09;PETR4;22,74;23,01;22,61;22,88;1106942103
2021-04-08;PETR4;23,2;23,26;22,61;22,93;1485724616
2021-04-07;PETR4;23,16;23,55;23,15;23,22;1328541386
2021-04-06;PETR4;23,39;23,58;23,13;23,24;1097015024
2021-04-05;PETR4;23,35;23,41;22,91;23,26;960726081
