data,codigo,abertura,maxima,minima,fechamento,tickvol,vol,spread
2020.01.03,WIN,117410.0,119405.0,116995.0,118285.0,2241076,9160675,5
2020.01.06,WIN,117790.0,118260.0,116785.0,117360.0,2347932,9733277,5
2020.01.07,WIN,117760.0,117925.0,116340.0,117110.0,2108472,8851342,5
2020.01.08,WIN,117205.0,117885.0,116080.0,116295.0,2468876,10371140,5
2020.01.09,WIN,117240.0,117355.0,115810.0,116355.0,2407838,10122131,5
2020.01.10,WIN,116815.0,117230.0,115320.0,115940.0,2036202,8659952,5
2020.01.13,WIN,116330.0,117890.0,116120.0,117875.0,2124337,8747811,5
2020.01.14,WIN,117690.0,118100.0,116955.0,117900.0,1994508,9082836,5
2020.01.15,WIN,117820.0,117840.0,116525.0,116790.0,2078259,8628689,5
2020.01.16,WIN,117100.0,117540.0,116230.0,117030.0,2126544,9109108,5
2020.01.17,WIN,117400.0,118810.0,117225.0,118800.0,1631927,6737240,5
2020.01.20,WIN,118605.0,119175.0,118135.0,119090.0,1788189,6884522,5
2020.01.21,WIN,118300.0,118900.0,117100.0,117210.0,2112895,8900663,5
2020.01.22,WIN,117770.0,118670.0,117685.0,118550.0,1822010,7632209,5
2020.01.23,WIN,118200.0,119875.0,117115.0,119785.0,2410205,10331062,5
2020.01.24,WIN,119895.0,120080.0,118270.0,118500.0,2581703,10847237,5
2020.01.27,WIN,116600.0,116890.0,114450.0,114670.0,2663455,10963937,5
2020.01.28,WIN,115045.0,117050.0,114930.0,116585.0,2580298,10865129,5
2020.01.29,WIN,116990.0,117395.0,115260.0,115540.0,2855020,11135682,5
2020.01.30,WIN,114260.0,115785.0,112910.0,115500.0,2932368,12067898,5
2020.01.31,WIN,114600.0,114685.0,113220.0,113880.0,3202167,12696367,5
2020.02.03,WIN,114450.0,115500.0,113595.0,114760.0,2611679,11034811,5
2020.02.04,WIN,116275.0,116785.0,115570.0,115670.0,2562897,10835019,5
2020.02.05,WIN,116795.0,117855.0,116170.0,116450.0,2310479,10562287,5
2020.02.06,WIN,117000.0,117535.0,114775.0,115250.0,2578560,11004752,5
2020.02.07,WIN,114875.0,115245.0,113535.0,113570.0,2502520,10296452,5
2020.02.10,WIN,113655.0,114195.0,112135.0,113105.0,2652879,9936696,5
2020.02.11,WIN,113735.0,115620.0,113565.0,115420.0,2743154,10984206,5
2020.02.12,WIN,117020.0,118420.0,116310.0,117350.0,2311801,9801557,5
2020.02.13,WIN,116105.0,116705.0,115440.0,116195.0,2651450,10617027,5
2020.02.14,WIN,116750.0,116930.0,114765.0,114975.0,2320992,9646715,5
2020.02.17,WIN,115500.0,116395.0,115320.0,115700.0,1937670,7375245,5
2020.02.18,WIN,114850.0,115760.0,114140.0,115760.0,2277121,9135614,5
2020.02.19,WIN,115950.0,117220.0,115280.0,116980.0,2335084,9365027,5
2020.02.20,WIN,116720.0,117180.0,114900.0,114900.0,2886348,11377650,5
2020.02.21,WIN,114400.0,114510.0,113180.0,114275.0,2580406,9684063,5
2020.02.26,WIN,108710.0,109135.0,105470.0,106085.0,2393117,9279459,5
2020.02.27,WIN,104750.0,107185.0,103000.0,103070.0,4509057,17392440,5
2020.02.28,WIN,101350.0,104920.0,100335.0,104915.0,4854575,19141566,5
2020.03.02,WIN,103860.0,107760.0,103090.0,107500.0,4395056,16226490,5
2020.03.03,WIN,107655.0,109960.0,104775.0,105600.0,4750908,17847346,5
2020.03.04,WIN,107500.0,108495.0,105350.0,107415.0,3922750,14430307,5
2020.03.05,WIN,105800.0,106545.0,100760.0,102600.0,3767106,14792535,5
2020.03.06,WIN,99090.0,99805.0,97165.0,98040.0,4508139,15398343,5
2020.03.09,WIN,88540.0,90890.0,86080.0,86080.0,2197208,4901004,5
2020.03.10,WIN,90665.0,92780.0,87355.0,92625.0,4992175,12517084,5
2020.03.11,WIN,89600.0,90680.0,80540.0,80580.0,3928776,11249393,5
2020.03.12,WIN,76365.0,76365.0,72125.0,72125.0,102405,338277,5
2020.03.13,WIN,79300.0,82940.0,72510.0,80020.0,1642597,2892333,5
2020.03.16,WIN,74415.0,76425.0,70280.0,70280.0,1970324,3356663,5
2020.03.17,WIN,70625.0,77410.0,70600.0,73300.0,3424496,5456038,5
2020.03.18,WIN,67255.0,70300.0,63520.0,68100.0,1513143,2508849,5
2020.03.19,WIN,66150.0,70060.0,61450.0,65500.0,3094171,4707757,5
2020.03.20,WIN,69805.0,72385.0,65780.0,66390.0,5251157,8133013,5
2020.03.23,WIN,64240.0,69965.0,61900.0,63920.0,4907702,8148760,5
2020.03.24,WIN,68380.0,71700.0,66670.0,69000.0,2947793,5782298,5
2020.03.25,WIN,68510.0,76800.0,67740.0,74600.0,4616869,9677961,5
2020.03.26,WIN,73100.0,78850.0,72215.0,77650.0,4815725,10161881,5
2020.03.27,WIN,74760.0,75810.0,72500.0,73450.0,4617316,10117765,5
2020.03.30,WIN,73400.0,75160.0,72820.0,75160.0,4338541,10195830,5
2020.03.31,WIN,75100.0,75485.0,71880.0,71950.0,3809717,10310565,5
2020.04.01,WIN,69925.0,71570.0,68870.0,71200.0,4059619,10625357,5
2020.04.02,WIN,72810.0,74040.0,71010.0,72250.0,4467869,11036750,5
2020.04.03,WIN,72450.0,73275.0,67710.0,69300.0,4729798,11063620,5
2020.04.06,WIN,72650.0,75370.0,72150.0,74400.0,3829335,10796056,5
2020.04.07,WIN,77800.0,79985.0,76070.0,76595.0,4714287,13796891,5
2020.04.08,WIN,77050.0,79180.0,76115.0,79090.0,4258509,12376798,5
2020.04.09,WIN,78510.0,80470.0,77420.0,78190.0,4286614,13011716,5
2020.04.13,WIN,77520.0,79345.0,76315.0,79255.0,4343568,13303853,5
2020.04.14,WIN,80290.0,81725.0,79800.0,80185.0,3570947,11191069,5
